season,episode,act_number,characters_in_act
1,1,1,"[""MICHAEL"", ""REDSHIRT"", ""REDSHIRT #2"", ""JACK"", ""CLAIRE"", ""LOCKE"", ""GARY"", ""HURLEY"", ""BOONE"", ""KATE"", ""SAYID"", ""CHARLIE"", ""SHANNON"", ""JIN"", ""WALT""]"
1,1,2,"[""CINDY"", ""JACK"", ""CHARLIE"", ""ROSE"", ""MICHAEL"", ""SHANNON"", ""SAWYER"", ""HURLEY"", ""SAYID"", ""KATE"", ""WALT"", ""BOONE"", ""CLAIRE""]"
1,1,3,"[""CHARLIE"", ""JACK"", ""KATE"", ""PILOT""]"
1,1,4,"[""CHARLIE"", ""KATE"", ""JACK""]"
1,2,1,"[""CHARLIE"", ""JACK"", ""KATE"", ""CINDY"", ""ROSE"", ""SHANNON"", ""JD""]"
1,2,2,"[""BOONE"", ""SHANNON"", ""CLAIRE"", ""MICHAEL"", ""SUN"", ""JIN"", ""WALT""]"
1,2,3,"[""MICHAEL"", ""JACK"", ""SAWYER"", ""SAYID"", ""KATE"", ""HURLEY"", ""BOONE"", ""ROSE"", ""SUN""]"
1,2,4,"[""HURLEY"", ""MICHAEL"", ""WALT"", ""JACK"", ""BOONE"", ""SHANNON"", ""KATE"", ""CHARLIE"", ""SAWYER"", ""LOCKE"", ""CLAIRE"", ""SAYID""]"
1,2,5,"[""HURLEY"", ""JACK"", ""BOONE"", ""SAYID and KATE"", ""SHANNON"", ""CHARLIE"", ""SAYID"", ""SAWYER"", ""KATE"", ""MICHELLE"", ""MARSHAL"", ""CINDY"", ""RADIO""]"
1,3,1,"[""MARSHAL"", ""JACK"", ""BOONE"", ""SAWYER"", ""SAYID"", ""SHANNON"", ""KATE"", ""CHARLIE"", ""HURLEY""]"
1,3,2,"[""SAYID"", ""BOONE"", ""SAWYER"", ""SHANNON"", ""CHARLIE"", ""RAY"", ""KATE"", ""HURLEY"", ""JACK""]"
1,3,3,"[""HURLEY"", ""JACK"", ""SAWYER"", ""CHARLIE"", ""CLAIRE"", ""SUN"", ""JIN"", ""KATE"", ""RAY"", ""Jack""]"
1,3,4,"[""MICHAEL"", ""WALT"", ""CHARLIE"", ""LOCKE"", ""SHANNON"", ""BOONE"", ""SAYID"", ""JACK"", ""SAWYER"", ""KATE"", ""MARSHAL""]"
1,3,5,"[""MARSHAL"", ""KATE"", ""HURLEY"", ""JACK"", ""SAWYER""]"
1,3,6,"[""LOCKE"", ""MICHAEL"", ""KATE"", ""JACK""]"
1,4,1,"[""MICHAEL"", ""WALT"", ""KATE"", ""CLAIRE"", ""SAYID"", ""JACK"", ""SAWYER"", ""HURLEY"", ""CHARLIE"", ""LOCKE""]"
1,4,2,"[""JACK"", ""CHARLIE"", ""SAYID"", ""KATE"", ""WALT"", ""MICHAEL"", ""HURLEY"", ""SAWYER"", ""SHANNON"", ""LOCKE"", ""GL12"", ""RANDY""]"
1,4,3,"[""JACK"", ""KATE"", ""WALT"", ""MICHAEL"", ""SUN"", ""CLAIRE"", ""BOONE"", ""SHANNON"", ""LOCKE"", ""CHARLIE"", ""GL12"", ""RANDY""]"
