season,episode,character,sentence
1,1,MICHAEL,Walt! Walt!
1,1,REDSHIRT,Stay away from the gas! Stay there!
1,1,REDSHIRT #2,"Help! Help! Somebody help me! Help! Help! Ahh, my leg! Ah! Ah!"
1,1,JACK,"Hey you, just give me a hand! You, come on! Come over here, give me a hand! On the count of three: One, two, three."
1,1,CLAIRE,"Help! Please help me! Help me, please help me!"
1,1,JACK,"All right, get him out of here! Get him away from the engine! Get him out of here!"
1,1,CLAIRE,"Help me, please. I'm having, I'm having contractions."
1,1,JACK,How many months pregnant are you?
1,1,CLAIRE,"I'm, I'm nearly eight months."
1,1,JACK,How far apart are they coming?
1,1,CLAIRE,"I don't know, a-a few just happened."
1,1,LOCKE,"Hey! Hey, hey, hey, get away from there!"
1,1,GARY,What?
1,1,JACK,"Listen to me! Look at me! You're going to be okay, do you understand me? But you have to sit absolutely still!"
1,1,JACK,"Hey, you! Come here! I need you to get this woman away from these fumes! Take her over there. Stay with her. If her contractions occur any closer than three minutes apart, call out for me."
1,1,HURLEY,"Oh, you got to be kidding me."
1,1,JACK,"I'll be right back, okay?"
1,1,CLAIRE,Thank you.
1,1,HURLEY,Hey! What's your name?
1,1,JACK,Jack.
1,1,JACK,Stop! Her head's not tilted far back enough. You're blowing air into her stomach.
1,1,BOONE,You sure?
1,1,BOONE,That's exactly what I was doing. I'm a lifeguard. I'm licensed.
1,1,JACK,"Yeah, well, you need to seriously think about giving that license back."
1,1,BOONE,"Maybe we should do one of those hole things. You know, stick the pen in the throat?"
1,1,JACK,"Yeah, good idea. You go get me a pen."
1,1,JACK,Come on. Come on! Come on! Come on!
1,1,JACK,Big deep breaths. Take breaths!
1,1,JACK,Move! Move! Move! Get her up! Get her out of there! The wing!
1,1,JACK,You okay?
1,1,CLAIRE,Yeah.
1,1,JACK,You? . Stay with her.
1,1,HURLEY,"Dude, I'm not going anywhere."
1,1,BOONE,I didn't know which one would work best.
1,1,JACK,They're all good. Thanks.
1,1,JACK,Excuse me. Did you ever use a needle?
1,1,KATE,What?
1,1,JACK,Did you ever … patch a pair of jeans?
1,1,KATE,"I, uhm, I made the drapes in my apartment."
1,1,JACK,"That's fantastic. Listen, do you have a second? I could use a little help here."
1,1,KATE,And with what?
1,1,JACK,With this.
1,1,JACK,"Look, I'd do it myself, I'm a doctor, but I just can't reach it."
1,1,KATE,You want me to sew that up?
1,1,JACK,"It's just like the drapes, same thing."
1,1,KATE,"No, with the drapes I used a sewing machine."
1,1,JACK,"No, you can do this. I'm telling you. If you wouldn't mind."
1,1,KATE,Of course I will.
1,1,JACK,"Thank you. It's for your hands. Save me some for the, for the wound."
1,1,KATE,Any color preference?
1,1,JACK,No. Standard black.
1,1,BOONE,Come on.
1,1,SAYID,Hey you. What's your name?
1,1,CHARLIE,Me? Charlie.
1,1,SAYID,Charlie. We need help with the fire. No-one will see it if it isn't big.
1,1,CHARLIE,"Okay, I'm on it. What's your name?"
1,1,SAYID,Sayid.
1,1,CHARLIE,"Sayid. I'm on it, Sayid."
1,1,KATE,I might throw up on you.
1,1,JACK,You're doing fine.
1,1,KATE,You don't seem afraid at all. I don't understand that.
1,1,JACK,"Well, fear's sort of an odd thing. When I was in residency, my first solo procedure was a spinal surgery on a 16 year old kid, a girl. And at the end, after 13 hours, I was closing her up and I, I accidentally ripped her dural sac. Shredded the base of the spine where all the nerves come together, membrane as thin as tissue. And so it ripped open. And the nerves just spilled out of her like angel hair pasta, spinal fluid flowing out of her and I … And the terror was just so … crazy. So real. And I knew I had to deal with it. (He's crying). So I just made a choice. I'd let the fear in, let it take over, let it do its thing, but only for five seconds, that's all I was going to give it. So I started to count: One, two, three, four, five. Then it was gone. I went back to work, sewed her up and she was fine."
1,1,KATE,"If that had been me, I think I would have run for the door."
1,1,JACK,"No, I don't think that's true. You're not running now."
1,1,SAYID,You think they would have come by now.
1,1,CHARLIE,Huh? Who?
1,1,SAYID,Anyone.
1,1,SHANNON,As if I'm going to start eating chocolate.
1,1,BOONE,"Shannon, we may be here for a while."
1,1,SHANNON,"The plane had a black box, idiot. They know exactly where they are, they're coming. I'll eat on the rescue boat. . I'll. Eat. On. The. Rescue. Boat."
1,1,HURLEY,Hungry?
1,1,CLAIRE,"Yeah, thanks."
