season,episode,character,sentence
2,7,WOMAN'S VOICE,Help I can't swim!
2,7,ZACH,"Emma -- my sister, my sister. Emma! Emma!"
2,7,ANA LUCIA,I'll be right back.
2,7,EKO,She's not breathing.
2,7,ANA,Watch out.
2,7,EKO,Come with me.
2,7,UNKNOWN WOMAN'S VOICE,Bethany!
2,7,UNKNOWN #2 WOMAN'S VOICE,Beth!
2,7,EKO,Don't look. She will be fine.
2,7,ANA LUCIA,"Good, let it out. You okay?"
2,7,EMMA,Where's my mom?
2,7,ANA LUCIA,I don't know.
2,7,PAM'S HUSBAND,Where is she? PAM!
2,7,EMMA,She's meeting us in Los Angeles.
2,7,PAM'S HUSBAND,Pam! Pam! Anybody see my wife? Pam!
2,7,ANA LUCIA,"We're not there yet. I promise, we're going to get you home soon, okay."
2,7,EKO,"Excuse me, would you look after the children?"
2,7,UNKNOWN WOMAN'S VOICE,Try to breathe.
2,7,EKO,There is something I have to do.
2,7,CINDY,"Uh, okay."
2,7,UNKNOWN WOMAN'S VOICE,Geralyn! Rawlin! Where are you?
2,7,EKO,Stay with this nice woman. I'll be back in a minute.
2,7,UNKNOWN WOMAN'S VOICE,Hurley!
2,7,DONALD,"Ow, my leg, my leg! Is it bad? It's bad, isn't it?"
2,7,UNKNOWN WOMAN'S VOICE,Hurley!
2,7,LIBBY,"No, it's not that bad. I broke my leg skiing up at Stowe in Vermont. I was on this run -- going pretty fast -- I was racing this cute ski patrol guy. I went off this mogul, lost my edge and, bam!"
2,7,LIBBY,Snapped my left leg.
2,7,UNKNOWN WOMAN'S VOICE,Beverly!
2,7,LIBBY,Now that -- that was bad.
2,7,ANA LUCIA,You a doctor?
2,7,LIBBY,A year of med school before I dropped out. I'm a clinical psychologist. You saved that girl's life -- you a doctor?
2,7,UNKNOWN WOMAN'S VOICE,Geralyn!
2,7,ANA LUCIA,No.
2,7,GOODWIN,"Help! Hey, I need some help! There's somebody in the jungle, come on. He's alive!"
2,7,BERNARD,Help! Please help me! Help! Help!
2,7,GOODWIN,"We should climb up there -- I'll hold him steady, you pull him..."
2,7,ANA LUCIA,"No, wait. What's your name?!"
2,7,BERNARD,Bernard!
2,7,ANA LUCIA,"You're going to be alright, Bernard. I need you to unbuckle your seat belt and grab the branch next to you!"
2,7,BERNARD,Is he dead? I think he's dead.
2,7,GOODWIN,We should climb up there.
2,7,ANA LUCIA,"No. I need you to focus, Bernard! Unbuckle your seatbelt! Now grab the branch next to you!"
2,7,BERNARD,I don't think I can do that.
2,7,ANA LUCIA,Those seats are going to fall.
2,7,ANA LUCIA,"Come on, you can do it. Bernard!"
2,7,ANA LUCIA,"Alright, hold on tight, okay! I'm coming up to get you!"
2,7,LIBBY,Does anybody have any water?
2,7,ANA LUCIA,You couldn't find any matches?
2,7,GOODWIN,"Dry ones? You can ask around but I couldn't find any. It'll be dark soon, let me get a signal fire started so they can find us."
2,7,ANA LUCIA,"What are you, a boy scout?"
2,7,GOODWIN,Grown up version -- I'm in the Peace Corps.
2,7,ANA LUCIA,They still have that?
2,7,GOODWIN,I'm just happy somebody your age actually knows what it is.
2,7,ANA LUCIA,What's your name?
2,7,GOODWIN,Goodwin.
2,7,ANA LUCIA,I'm Ana Lucia.
2,7,BERNARD,I heard that you were the one who pulled the dead bodies out of the water.
2,7,EKO,Yes.
2,7,BERNARD,Were any of them African-American?
2,7,EKO,No.
2,7,BERNARD,"Oh, it's my wife -- I can't find her."
2,7,EKO,I will pray for her.
2,7,BERNARD,Where the hell are the rescue planes?
2,7,EKO,"I will pray for them, too."
2,7,ANA LUCIA,What was that?
2,7,ANA LUCIA,"Libby, watch the kids."
2,7,GOODWIN,Over here.
2,7,CINDY,It's alright. It'll be okay.
2,7,ANA LUCIA,What happened?
2,7,ANA LUCIA,"No wallets, no cell phone, no keys. Nothing."
2,7,ANA,"Hey, are you okay?"
2,7,NATHAN,"Look, 3 other people are missing -- the blond guy, the curly-haired guy, and the German who was helping us with the injured."
2,7,ANA LUCIA,Did you see anything?
2,7,NATHAN,"No, I didn't."
2,7,ANA LUCIA,Where did they come from? How many there were?
2,7,NATHAN,"No, I didn't see anything. Who are these people?"
2,7,ANA LUCIA,"I don't know. But they're out here in the jungle with no shoes, nothing in their pockets, no labels on their clothes. These people were here before us."
2,7,ANA LUCIA,We need to get off the beach. We need to find a safer place.
2,7,NATHAN,We've got kids and people that are seriously hurt. Where are we going to go? How are we going to move them? And what about the signal fire? How are we going to get rescued if we're off the beach?
2,7,GOODWIN,Nathan's right.
2,7,ANA LUCIA,They have satellites -- the black box -- we don't need a fire for them to find us.
2,7,CINDY,"Yes, we do. Before the crash, the pilot said we'd lost communication; we were turning back. We were flying for two hours in the wrong direction. They don't know where to look."
2,7,LIBBY,"It's Donald, his leg. The infection is getting worse. He'll be the fourth to go."
2,7,ANA LUCIA,What are we supposed to do about that?
2,7,GOODWIN,"Now, get over here! Now grab it! Grab it! Cole!"
2,7,COLE,Over here!
2,7,GOODWIN,Come on! Ogie!
